"key","value","date"
"Godzilla (2014)",0.026416,2014-08-17
"Godzilla (2014)",0.010002,2014-08-18
"Godzilla (2014)",0.009902,2014-08-19
"Godzilla (2014)",0.009704,2014-08-20
"Godzilla (2014)",0.009587,2014-08-21
"Godzilla (2014)",0.009115,2014-08-22
"Godzilla (2014)",0.016289,2014-08-23
"Godzilla (2014)",0.009578,2014-08-24
"Godzilla (2014)",0.003497,2014-08-25
"Godzilla (2014)",0.003601,2014-08-26
"Godzilla (2014)",0.003786,2014-08-27
"Godzilla (2014)",0.003876,2014-08-28
"Godzilla (2014)",0,2014-08-29
"Godzilla (2014)",0,2014-08-30
"Godzilla (2014)",0,2014-08-31
"Godzilla (2014)",0,2014-09-01
"Godzilla (2014)",0,2014-09-02
"Godzilla (2014)",0,2014-09-03
"Godzilla (2014)",0,2014-09-04
"Godzilla (2014)",0,2014-09-05
"Godzilla (2014)",0,2014-09-06
"Godzilla (2014)",0,2014-09-07
"Godzilla (2014)",0,2014-09-08
"Godzilla (2014)",0,2014-09-09
"Godzilla (2014)",0,2014-09-10
"Godzilla (2014)",0,2014-09-11
"Godzilla (2014)",0,2014-09-12
"Godzilla (2014)",0,2014-09-13
"Godzilla (2014)",0,2014-09-14
"Godzilla (2014)",0,2014-09-15
"Godzilla (2014)",0,2014-09-16
"Godzilla (2014)",0,2014-09-17
"Godzilla (2014)",0,2014-09-18
"Godzilla (2014)",0,2014-09-19
"Godzilla (2014)",0,2014-09-20
"Godzilla (2014)",0,2014-09-21
"Godzilla (2014)",0,2014-09-22
"Godzilla (2014)",0,2014-09-23
"Godzilla (2014)",0,2014-09-24
"Godzilla (2014)",0,2014-09-25
"Godzilla (2014)",0,2014-09-26
"Godzilla (2014)",0,2014-09-27
"Godzilla (2014)",0,2014-09-28
"Guardians of the Galaxy",0,2014-05-01
"Guardians of the Galaxy",0,2014-05-02
"Guardians of the Galaxy",0,2014-05-03
"Guardians of the Galaxy",0,2014-05-04
"Guardians of the Galaxy",0,2014-05-05
"Guardians of the Galaxy",0,2014-05-06
"Guardians of the Galaxy",0,2014-05-07
"Guardians of the Galaxy",0,2014-05-08
"Guardians of the Galaxy",0,2014-05-09
"Guardians of the Galaxy",0,2014-05-10
"Guardians of the Galaxy",0,2014-05-11
"Guardians of the Galaxy",0,2014-05-12
"Guardians of the Galaxy",0,2014-05-13
"Guardians of the Galaxy",0,2014-05-14
"Guardians of the Galaxy",0,2014-05-15
"Guardians of the Galaxy",0,2014-05-16
"Guardians of the Galaxy",0,2014-05-17
"Guardians of the Galaxy",0,2014-05-18
"Guardians of the Galaxy",0,2014-05-19
"Guardians of the Galaxy",0,2014-05-20
"Guardians of the Galaxy",0,2014-05-21
"Guardians of the Galaxy",0,2014-05-22
"Guardians of the Galaxy",0,2014-05-23
"Guardians of the Galaxy",0,2014-05-24
"Guardians of the Galaxy",0,2014-05-25
"Guardians of the Galaxy",0,2014-05-26
"Guardians of the Galaxy",0,2014-05-27
"Guardians of the Galaxy",0,2014-05-28
"Guardians of the Galaxy",0,2014-05-29
"Guardians of the Galaxy",0,2014-05-30
"Guardians of the Galaxy",0,2014-05-31
"Guardians of the Galaxy",0,2014-06-01
"Guardians of the Galaxy",0,2014-06-02
"Guardians of the Galaxy",0,2014-06-03
"Guardians of the Galaxy",0,2014-06-04
"Guardians of the Galaxy",0,2014-06-05
"Guardians of the Galaxy",0,2014-06-06
"Guardians of the Galaxy",0,2014-06-07
"Guardians of the Galaxy",0,2014-06-08
"Guardians of the Galaxy",0,2014-06-09
"Guardians of the Galaxy",0,2014-06-10
"Guardians of the Galaxy",0,2014-06-11
"Guardians of the Galaxy",0,2014-06-12
"Guardians of the Galaxy",0,2014-06-13
"Guardians of the Galaxy",0,2014-06-14
"Guardians of the Galaxy",0,2014-06-15
"Guardians of the Galaxy",0,2014-06-16
"Guardians of the Galaxy",0,2014-06-17
"Guardians of the Galaxy",0,2014-06-18
"Guardians of the Galaxy",0,2014-06-19
"Guardians of the Galaxy",0,2014-06-20
"Guardians of the Galaxy",0,2014-06-21
"Guardians of the Galaxy",0,2014-06-22
"Guardians of the Galaxy",0,2014-06-23
"Guardians of the Galaxy",0,2014-06-24
"Guardians of the Galaxy",0,2014-06-25
"Guardians of the Galaxy",0,2014-06-26
"Guardians of the Galaxy",0,2014-06-27
"Guardians of the Galaxy",0,2014-06-28
"Guardians of the Galaxy",0,2014-06-29
"Guardians of the Galaxy",0,2014-06-30
"Guardians of the Galaxy",0,2014-07-01
"Guardians of the Galaxy",0,2014-07-02
"Guardians of the Galaxy",0,2014-07-03
"Guardians of the Galaxy",0,2014-07-04
"Guardians of the Galaxy",0,2014-07-05
"Guardians of the Galaxy",0,2014-07-06
"Guardians of the Galaxy",0,2014-07-07
"Guardians of the Galaxy",0,2014-07-08
"Guardians of the Galaxy",0,2014-07-09
"Guardians of the Galaxy",0,2014-07-10
"Guardians of the Galaxy",0,2014-07-11
"Guardians of the Galaxy",0,2014-07-12
"Guardians of the Galaxy",0,2014-07-13
"Guardians of the Galaxy",0,2014-07-14
"Guardians of the Galaxy",0,2014-07-15
"Guardians of the Galaxy",0,2014-07-16
"Guardians of the Galaxy",0,2014-07-17
"Guardians of the Galaxy",0,2014-07-18
"Guardians of the Galaxy",0,2014-07-19
"Guardians of the Galaxy",0,2014-07-20
"Guardians of the Galaxy",0,2014-07-21
"Guardians of the Galaxy",0,2014-07-22
"Guardians of the Galaxy",0,2014-07-23
"Guardians of the Galaxy",0,2014-07-24
"Guardians of the Galaxy",0,2014-07-25
"Guardians of the Galaxy",0,2014-07-26
"Guardians of the Galaxy",0,2014-07-27
"Guardians of the Galaxy",0,2014-07-28
"Guardians of the Galaxy",0,2014-07-29
"Guardians of the Galaxy",0,2014-07-30
"Guardians of the Galaxy",0,2014-07-31
"Guardians of the Galaxy",37.845336,2014-08-01
"Guardians of the Galaxy",30.989857,2014-08-02
"Guardians of the Galaxy",25.48569,2014-08-03
"Guardians of the Galaxy",11.722356,2014-08-04
"Guardians of the Galaxy",11.907821,2014-08-05
"Guardians of the Galaxy",8.808382,2014-08-06
"Guardians of the Galaxy",7.631397,2014-08-07
"Guardians of the Galaxy",12.312683,2014-08-08
"Guardians of the Galaxy",16.947112,2014-08-09
"Guardians of the Galaxy",12.865127,2014-08-10
"Guardians of the Galaxy",5.343905,2014-08-11
"Guardians of the Galaxy",6.609534,2014-08-12
"Guardians of the Galaxy",4.849881,2014-08-13
"Guardians of the Galaxy",4.22674,2014-08-14
"Guardians of the Galaxy",6.940576,2014-08-15
"Guardians of the Galaxy",10.353882,2014-08-16
"Guardians of the Galaxy",7.821106,2014-08-17
"Guardians of the Galaxy",2.884902,2014-08-18
"Guardians of the Galaxy",3.511416,2014-08-19
"Guardians of the Galaxy",2.623129,2014-08-20
"Guardians of the Galaxy",2.573025,2014-08-21
"Guardians of the Galaxy",4.818549,2014-08-22
"Guardians of the Galaxy",7.480888,2014-08-23
"Guardians of the Galaxy",4.902775,2014-08-24
"Guardians of the Galaxy",1.662402,2014-08-25
"Guardians of the Galaxy",2.109302,2014-08-26
"Guardians of the Galaxy",1.507039,2014-08-27
"Guardians of the Galaxy",1.562456,2014-08-28
"Guardians of the Galaxy",3.846423,2014-08-29
"Guardians of the Galaxy",6.220274,2014-08-30
"Guardians of the Galaxy",7.015565,2014-08-31
"Guardians of the Galaxy",5.824589,2014-09-01
"Guardians of the Galaxy",1.387915,2014-09-02
"Guardians of the Galaxy",0.97467,2014-09-03
"Guardians of the Galaxy",0.84115,2014-09-04
"Guardians of the Galaxy",2.707279,2014-09-05
"Guardians of the Galaxy",5.050351,2014-09-06
"Guardians of the Galaxy",2.599715,2014-09-07
"Guardians of the Galaxy",0.721759,2014-09-08
"Guardians of the Galaxy",0.941747,2014-09-09
"Guardians of the Galaxy",0.728882,2014-09-10
"Guardians of the Galaxy",0.727245,2014-09-11
"Guardians of the Galaxy",2.114165,2014-09-12
"Guardians of the Galaxy",3.905201,2014-09-13
"Guardians of the Galaxy",2.082992,2014-09-14
"Guardians of the Galaxy",0.578865,2014-09-15
"Guardians of the Galaxy",0.778903,2014-09-16
"Guardians of the Galaxy",0.586451,2014-09-17
"Guardians of the Galaxy",0.557622,2014-09-18
"Guardians of the Galaxy",1.382821,2014-09-19
"Guardians of the Galaxy",2.475953,2014-09-20
"Guardians of the Galaxy",1.383512,2014-09-21
"Guardians of the Galaxy",0.364039,2014-09-22
"Guardians of the Galaxy",0.44819,2014-09-23
"Guardians of the Galaxy",0.382862,2014-09-24
"Guardians of the Galaxy",0.476867,2014-09-25
"Guardians of the Galaxy",1.025002,2014-09-26
"Guardians of the Galaxy",1.771534,2014-09-27
"Guardians of the Galaxy",0.969405,2014-09-28
"How to Train Your Dragon 2",0,2014-05-01
"How to Train Your Dragon 2",0,2014-05-02
"How to Train Your Dragon 2",0,2014-05-03
"How to Train Your Dragon 2",0,2014-05-04
"How to Train Your Dragon 2",0,2014-05-05
"How to Train Your Dragon 2",0,2014-05-06
